City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Cabedelo,BR,2021-07-24 21:50:59,-6.9811,-34.8339,75.87,79,1,14.25
121,Cabo San Lucas,MX,2021-07-24 21:49:12,22.8909,-109.9124,98.51,66,7,12.21
122,Narsaq,GL,2021-07-24 21:51:11,60.9167,-46.05,47.35,84,70,1.86
123,Hilo,US,2021-07-24 21:50:05,19.7297,-155.09,82.11,81,90,8.05
124,Casablanca,MA,2021-07-24 21:50:00,33.5928,-7.6192,73.62,74,68,8.97
125,Sola,VU,2021-07-24 21:51:13,-13.8833,167.55,79.47,100,75,0.0
126,Yining,CN,2021-07-24 21:51:13,29.0361,114.5636,73.67,94,64,1.61
127,Tiksi,RU,2021-07-24 21:51:14,71.6872,128.8694,41.81,81,37,4.63
128,Richards Bay,ZA,2021-07-24 21:51:14,-28.783,32.0377,53.6,78,22,4.59
129,Geraldton,AU,2021-07-24 21:51:15,-28.7667,114.6,54.12,94,90,10.36
130,Takoradi,GH,2021-07-24 21:51:15,4.8845,-1.7554,74.48,82,5,7.4
131,Gizo,SB,2021-07-24 21:51:16,-8.103,156.8419,82.45,74,45,5.88
132,Caceres,ES,2021-07-24 21:51:16,39.522,-6.3748,70.21,45,25,10.71
133,Ostrovnoy,RU,2021-07-24 21:51:16,68.0531,39.5131,46.04,86,96,22.19
134,Valleyview,CA,2021-07-24 21:51:17,55.0667,-117.2859,75.02,27,38,15.19
135,Monrovia,LR,2021-07-24 21:51:17,6.3005,-10.7969,74.97,80,99,8.86
136,Bambous Virieux,MU,2021-07-24 21:51:17,-20.3428,57.7575,70.05,83,40,9.22
137,Korla,CN,2021-07-24 21:51:18,41.7597,86.1469,85.62,19,32,7.23
138,Gimli,CA,2021-07-24 21:51:18,50.6336,-96.9907,84.43,36,19,16.11
139,Kamaishi,JP,2021-07-24 21:51:19,39.2667,141.8833,76.59,79,15,3.76
140,Irece,BR,2021-07-24 21:51:19,-11.3042,-41.8558,66.07,72,85,13.02
141,Norsup,VU,2021-07-24 21:51:19,-16.0667,167.3833,81.45,77,89,5.59
142,Mitu,CO,2021-07-24 21:50:01,1.1983,-70.1733,73.74,92,100,2.89
143,Launceston,AU,2021-07-24 21:51:20,-41.45,147.1667,43.81,90,53,3.0
144,Ilulissat,GL,2021-07-24 21:51:20,69.2167,-51.1,39.04,88,92,7.58
145,Los Llanos De Aridane,ES,2021-07-24 21:51:21,28.6585,-17.9182,70.12,85,10,14.97
146,Darnah,LY,2021-07-24 21:51:21,32.767,22.6367,78.19,75,0,16.64
147,Kutum,SD,2021-07-24 21:51:21,14.2,24.6667,74.68,66,99,11.9
148,Hithadhoo,MV,2021-07-24 21:51:22,-0.6,73.0833,81.75,78,48,10.78
149,Nome,US,2021-07-24 21:51:22,64.5011,-165.4064,50.07,87,90,10.36
150,Mogadishu,SO,2021-07-24 21:51:22,2.0371,45.3438,76.3,80,15,23.22
151,Kuliyapitiya,LK,2021-07-24 21:51:23,7.4688,80.0401,78.48,89,93,6.49
152,Chapais,CA,2021-07-24 21:51:23,49.7834,-74.8492,74.98,39,100,12.35
153,Pisco,PE,2021-07-24 21:51:24,-13.7,-76.2167,66.25,68,0,17.27
154,Airai,TL,2021-07-24 21:51:24,-8.9266,125.4092,55.26,39,5,3.18
155,San Patricio,US,2021-07-24 21:51:24,28.017,-97.5169,97.02,38,0,15.66
