City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
387,Santa Isabel Do Rio Negro,BR,77.38,overcast clouds,-0.4139,-65.0192,Hotel GSA
389,Banda Aceh,ID,79.75,overcast clouds,5.5577,95.3222,Sulthan Hotel International
393,Auki,SB,76.57,overcast clouds,-8.7676,160.7034,Auki Motel
394,Linqiong,CN,78.62,clear sky,30.4159,103.4609,Tianlun Tanxianglou Hotel
395,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Feltre,IT,79.59,light rain,46.0235,11.907,Hotel Casagrande
399,Tukrah,LY,79.23,clear sky,32.5341,20.5791,Lokta restaurant
400,Mizdah,LY,82.26,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
405,Nicoya,CR,85.55,overcast clouds,10.1483,-85.452,Guayacan Real
411,Lazaro Cardenas,MX,85.96,few clouds,17.9583,-102.2,quinta antigua
412,Olden,NO,75.27,broken clouds,61.8364,6.8064,Nesset Fjordcamping Olden
413,Tagusao,PH,81.1,scattered clouds,9.1924,117.8141,Toledo
416,Valverde Del Camino,ES,84.72,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
417,Santa Maria,BR,83.5,scattered clouds,-29.6842,-53.8069,Hotel Morotin
418,Roma,US,85.41,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
421,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
426,Fomboni,KM,76.95,scattered clouds,-12.28,43.7425,Auberge les abou
433,Alamosa,US,78.78,clear sky,37.4695,-105.87,Best Western Alamosa Inn
434,Lompoc,US,85.69,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
440,Ajdabiya,LY,83.89,clear sky,30.7554,20.2263,Almadina Hotel
443,Hirara,JP,83.41,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
452,Shache,CN,85.86,clear sky,38.4167,77.2406,Delong Hotel
458,Iskele,TR,78.89,few clouds,39.484,26.9278,Hotel Nova
464,Puerto Escondido,MX,88.21,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
466,Point Fortin,TT,84.15,overcast clouds,10.1833,-61.6833,Jus Les' Suites
469,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
472,Juegang,CN,78.4,moderate rain,32.3174,121.1855,Rudong Y Hotel
476,Safaga,EG,85.95,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
477,Abonnema,NG,76.96,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
480,Malangwa,NP,83.55,light rain,26.8568,85.5581,Prem Meat House
481,Vattalkundu,IN,78.78,overcast clouds,10.1667,77.7667,O2 Residency
482,Chateaubelair,VC,86.61,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
486,Libreville,GA,78.82,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
492,Hobyo,SO,76.66,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
494,Wajima,JP,78.21,clear sky,37.4,136.9,Wajiima Onsen Yashio
